Name,Address,Mobile,Website,Email,Products
Jianghai Europe Electronic Components GmbH,"Uerdinger Str. 95, 47799 Krefeld, Germany",,https://www.jianghai-europe.com,info@jianghai-europe.com,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), Aluminum electrolytic capacitors, Film capacitors, SMD capacitors, Ultra capacitors"
1oT,"Järvevana tee 7b, 10112 Tallinn, Estonia",,https://www.1ot.com/,kristi.rist@1ot.com,"5G, LTE, Wireless IoT"
2Connect,"Gompenstraat 17, 5145RM Waalwijk, Netherlands",,https://www.2-connect.com/,sales@2-connect.com,"Connectors; Plugs; Interconnects; Cable; Wire, Electronic Hardware; Fixtures and Supplies, Energy Efficiency: High voltage solutions, Equipment; Hardware; Product Design, Integration and Manufacturing"
2E mechatronic GmbH & Co. KG,"Maria-Merian-Str. 29, 73230 Kirchheim unter Teck, Germany",,https://www.2e-mechatronic.de,info@2e-mechatronic.de,"3D-MID circuit boards, Capacitive"
2J Antennas,"Stefanikova 61, 085 01 Bardejov, Slovak Republic",,https://www.2j-antennas.com/,sales@2j-antennas.com,"5G, LTE, Antennas, RF assemblies, miscellaneous"
"2Pai Semiconductor Co., Ltd.","Room 401/402, 4th Floor, Building Y1, No. 112 Liangxiu Road, Pudong New Area, 201210 Shanghai, China",,https://www.rpsemi.com,sales@rpsemi.com,Opto couplers
2PCB Technology Ltd.,"F/1-3, Bldg 3, Liansheng Industiral Park, Shangxing, Shajing Town, Baoan Dist., 518000 Shenzhen, China",+86 15 842877580,https://2pcbtechnology.com/,mavis@2pcbtech.com,"Plated through-hole PCBs, PCBs with blind and buried vias, HDI PCBs, PCBs with thick copper"
3A Components Limited,"Flat A1-A7, 2/F., Pahsang Industrial Bldg., 16 Sun Onstreet, Tuen Mun, NT, 999077 Hong Kong, China",,https://www.3acomponents.com,info@3acomponents.com,Field effect transistors (MOSFETs)
3PEAK Incorporated,"Silcherstr. 13, 80807 München, Germany",,https://www.3peak.com,business_EMEA@3peak.com,"DC/DC switching regulators, Power switches"
8devices,"Antakalnio st. 17-7, 10312 Vilnius, Lithuania",,https://www.8devices.com/,info@8devices.com,"Hardware design, Firmware and drivers, WLAN, Wireless IoT"
Aaronia AG,"Aaroniaweg 1, 54597 Strickscheid, Germany",,http://www.aaronia.de,info@aaronia.de,Field strength
ABchimie,"Z.A. La Rivoire, 1230 route de la Porte, 38630 Corbelin, France",,https://www.abchimie.com,info@abchimie.com,"Automotive (AE), Electronics for railway technology (R)"
ABC Taiwan Electronics Corp.,"Sec. 1, Yang Fu Road, Taoyuan 422, Yang Mei 32665, Taiwan",,https://www.atec-group.com,nancy.hu@atec-group.com,"LTCC (Low-temperature Co-fired Ceramic), Common mode chokes, SMD inductors"
"ABIS Circuits Co., Ltd.","523# A Area, Hangcheng Intelligence Ind. Park, Bao'An Dist., 518102 Shenzhen, China",+86 131 45945687,https://www.abiscircuits.com/,sales@abiscircuits.com,"PCBs, PC assemblies, Plated through-hole PCBs, PCBs with blind and buried vias"
ABOV Semiconductor,"Yeongdong-daero 8th Floor, 330, Seoul / Gangnam-gu 06177, South Korea",+82 10 76320310,https://www.abov.co.kr,naeum.ko@abov.co.kr,"AI & Machine Learning (AI), Smart Home/Building/Infrastructure (SH), 8 bit microcontrollers, 32 bit microcontrollers, Application-specific controllers, Embedded control ICs"
ABP Electronics Limited,"Room 1801/1812, Building T4, Fangda City, Beihuan Avenue Nanshan District, 518055 Shenzhen, China",,https://www.abp.net.cn,sales@abp.net.cn,"Assembly production, Multilayer PCBs, miscellaneous, PCBs on aluminum substrates, PCBs, other"
"Accord Co., Ltd.","8F., No. 398, Sec. 4, Jen Ai Road, Da'an Dist., Taipei City 10693, Taiwan",,https://www.accordia.com.tw,accord@accordia.com.tw,"Automation (A), Smart Home/Building/Infrastructure (SH), Keyboards, Silicone keyboards, Specialized keyboards"
ACCRETECH (Europe) GmbH,"Landsberger Str. 396, 81241 München, Germany",,http://www.accretech.eu,info@accretech.eu,
Accuris (formerly IHS Markit),"43 Western Road Maxis One, Bracknell RG12 1RF, Great Britain",,http://www.accuristech.com,jeff.platon@accuristech.com,"LCD monitors, Zener diodes, Temperature, temperature distribution, Parts databases, also with online access, Standards"
ACI Laser,"Steinbrüchenstraße 14, 99428 Grammetal, Germany",,http://www.aci-laser.de,info@aci-laser.de,"Resistance, conductivity, Identification systems, Optical inspection systems, Temperature meters"
ACME Ferrite Products Sdn Bhd.,"Plot 15, Jalan Ind 6, Kawasan Perindustrian Jelapang II, 30020 Ipoh, Malaysia",,https://www.acme.com.my,sales@usig.com,"Inductor cores, pressed cores, Soft-ferrite products, Wide bandgap power semiconductor devices"
"ACP Aragonesa de Componentes Pasivos, S.A.","Calle Rioja, parcela 83, Pol. Industrial Tarazona, 50500 Tarazona, Spain",,http://www.acptechnologies.com,sales@acptechnologies.com,"Potentiometer and resistive sensor elements, Angle, location, Position, contour (2D / 3D)"
AC Power Corp. (Preen),"3F., No. 161, Sec. 2, Datong Rd., Xizhi Dist., New Taipei 221424, Taiwan",,https://www.preenpower.com/en,amanda.hsu@preenpower.com,"AC/DC power supplies, single / multiple phase, Programmable power supplies, Lab power supplies"
"Acrowise Electronics Co., Ltd.","10F-1, No. 192, Tahtung Road, Sec. 3, Hsi-Chih Area, New Taipei City 22103, Taiwan",+886 958 340883,https://www.acrowise.com.tw,thomas@acrowise.com.tw,"LCD monitors, LCD displays, active (TFT), Touch panel, Special glasses"
Active-PCB Solutions Ltd,"Acre Road Unit 4, Reading RG2 0SU, Great Britain",,https://www.active-pcb.com,frances.taylor@active-pcb.com,"Electronics for aviation, aerospace and defence (D), Medical electronics (M), PCBs, Non-PTH single- and double-sided PCBs, Double-sided PCBs, PTH, PCBs, other"
ACTRON GROUP,"Justus-von-Liebig Straße 2-14, 85435 Erding, Germany",,https://www.actron.de,dm@actron.de,"LCD displays, active (TFT), Touch panel, Special glasses, Batteries, lithium, Distribution"
Actron Technology Corporation,"No. 22, Sec. 2, Nankan Rd., Luchu Dist., Taoyuan City 33855, Taiwan",,https://www.actron.com.tw,lawrence_fang@actron.com.tw,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), Traction inverters, DC/DC converter, DC/AC converter, 48 V on-board power supply products"
ACUWA Technology GmbH ACUWA Technology Inc.,"Birkenweg 40, 22880 Wedel, Germany",+49 172 4135656,https://www.acuwa.com,acuwa@acuwa.de,"Common mode chokes, Isolation transformers, Power transformers"
"Dongguan City ADAM Electronic Technology Co., Ltd.","Zhenyuan East Road No. 10, 523875 Dongguan, China",,https://www.adamconn.com,sales1@adamconn.com,"Image detection, image evaluation"
Adam Tech,"909 Rahway Avenue, Union, NJ 07083, USA",,https://adam-tech.com,info@adam-tech.com,"AC/DC power supplies, single / multiple phase"
"Adapter Technology Co., Ltd.","6F, No.258, Liancheng Rd., Zhonghe Dist., New Taipei City 235, Taiwan, New Taipei City 23553, Taiwan",,https://www.adaptertech.com.tw,service@adaptertech.com.tw ,"Power supplies, AC/DC power supplies, single / multiple phase, AC / DC power supplies, open frame, AC/DC power supplies for medical application"
Adaptsys Group,"Unit 1, Rotherbrook Court, Bedford Road, Petersfield, Hampshire GU32 3QG, Great Britain",,http://www.adaptsys.com,info@adaptsys.com,"System integration programs, Programming equipment, In-system programming (FLASH / OTP), Optical inspection systems"
ADEL System Srl,"Via Luigi Barchi 9/b, 42124 Reggio Emilia (RE), Italy",,http://www.adelsystem.com,info@adelsystem.com,"AC/DC power supplies, DIN rail, Uninterruptable power supplies (UPS)"
Adenso,"Am Weiher 3, 01468 Moritzburg, Germany",,https://www.waferhandling.solutions,info@adenso.de,"Equipment Interface; Communication Protocols, HVAC; Temperature; Humidity Systems and Control, Robotics; Transfer Systems, Ion Implantation Equipment, Transfer Systems for Wafer; Reticles or FPD´s, Handling; Transfer; Loading Systems; Lifting devices, Device; Wafer; Display Panel Handling Products, Handlers; Positioner Systems"
Adesio Corsaires Innovation SAS,"8 rue du point du jour, 35400 Saint-Malo, France",,https://www.ades.io,contact@ades.io,"Parts databases, also with online access, Product information systems, Obsolescence / inventory management, Other services"
ADT - Advanced Dicing Technologies Ltd.,"HaMada 5, 2069202 Yokneam, Israel",+972 54 3310076,https://www.adt-co.com,sales@adt-co.com,"Cleaning; Washing Equipment for Assembly & Packaging, Dicing; Sawing; Scribing; Separation Equipment, Scribe Tools; Saw or Dicing Blades and Accessories, Cleaning; Washing; Drying Equipment for Substrate; Fab Processing"
Advanced Electronics Energy Ltd.,"No. 6 Hua Tian Nan Yi Rd., Hi-Tech Ind. Zone, Ronggui, Shunde, 528306 Foshan, China",+86 133 18351921,http://www.aeenergy.com,joni@aeenergy.com,"Accumulators, up to 50 Ah, Smart batteries, Batteries, lithium"
Advanced Energy Industries GmbH,"Uracher Straße 91, 72555 Metzingen, Germany",,https://www.advancedenergy.com,info@aei.com,"AC/DC power supplies, single / multiple phase, AC / DC power supplies, battery charging, DC/DC converter, low power <100W, DC/DC power modules > 100W"
AMD,"2020 Bianconi Ave, D24 YO79 Citywest, Ireland",,https://www.amd.com,markus.schulze@amd.com,Medical electronics (M)
Advantech Europe B.V.,"Industriestr. 15, 82110 Germering, Germany",,https://www.advantech.eu/,Embedded@advantech.eu,"Automation (A), Internet of Things (IoT) (I), Embedded PCs, Single-board computers, RISC processors, x86 processors"
Advantek GmbH,"Siemensstr. 4, 79108 Freiburg, Germany",,http://www.advantek.com,adv@advantek.com,"Humidity meters, relative air"
Advantest Europe GmbH,"Georg-Brauchle-Ring 23-25, 80992 Munich, Germany",,https://www.advantest.com,info-eu@advantest.com,"Burn-In Systems, Functional Test Systems, Handlers; Positioner Systems, System on a Chip (SOC); Mixed Signal Test Systems"
ADV Power by Advantelec,"73 rue de Corbas, 69200 Vénissieux, France",,https://www.advantelec.com,contact@adv-power-lyon.com,
"AEC Connectors Co., Ltd.","36, Lane 63, Kai An Rd., Hoshun Ind. Park,, Tainan 70945, Taiwan",,https://www.aecconnectors.com.tw,sales@aecconnectors.com.tw,"5G/6G (G), Internet of Things (IoT) (I), Loads, coax, Adapters, coax-coax, Passive microwave components, miscellaneous, HF connectors"
AEMtec GmbH,"James-Franck-Str. 10, 12489 Berlin, Germany",,http://www.aemtec.com,info@aemtec.com,"Multi-chip module hybrids, miscellaneous, Component insertion, Bonding of dies on PCBs, Mounting, housing and bonding technology"
Ätztechnik Herz GmbH & Co. KG,"Kilbigswasen 4, 78736 Epfendorf, Germany",,http://www.aetztechnik-herz.de,info@aetztechnik-herz.de,"Metal machining, EMD shielding, Al2O3 substrates, Ceramic PCBs, miscellaneous, Rotary encoders"
AGIGA,"152 Rue de la Paix, 69400 Villefranche sur Saône, France",,https://agiga.net/,michel.loriot@agiga.net,Sustainability and Circular Economy (SC)
Agileo Automation,"11 Rue Victor Grignard, 86000 Poitiers, France",,https://www.agileo.com,contact@agileo.com,
agru Kunststofftechnik Gesellschaft m. b. H.,"Ing.-Pesendorfer-Str. 31, 4540 Bad Hall, Austria",,https://www.agru.at,office@agru.at,"Pipe; Tubing; Hose; Flanges; Connectors; Couplings; Plumbing Fittings, Chemical; Pure Water; Fluid Handling; Storage; Supply Systems, Welding Equipment"
AGS Devices Co.,"28630 North Diesel Drive, Bonita Springs, FL 34135, USA",,https://www.agsdevices.com,Contact@agsdevices.com,"Project assistance, Distribution, Obsolescence / inventory management, Other services"
Aicello-Harke GmbH,"Xantener Str. 1, 45479 Mülheim an der Ruhr, Germany",,https://www.harke.com/packpro,cleanproducts@harke.com,"Defect; Particle; Bump; Contamination Detection, Review or Inspection, Packages; Plastic, Clean Room Supplies; Cleaning Supplies, Laboratory Apparatus and Supplies"
Aichie Tech Electronics Co Ltd,"No. 9 Xinyuan St, Shijie Town, 75409 Dongguan, China",+86 180 27500750,http://www.aichie.com,allan@aichie.com,"Automation (A), Smart Home/Building/Infrastructure (SH), Cable assemblies, Coaxial high-frequency cables, Wire harnesses, Customized cables"
ai-energy GmbH,"Meckenloher Straße 11, 91126 Rednitzhembach, Germany",,http://www.ai-energy.de,info@ai-energy.de,"IGBT modules, MOSFET modules"
"Aiming Laser Technology Co., Ltd.","Xionghua Industrial Park, No. 72 Jinye 1st Rd., Yanta Dist., 710077 Xi'an, China",+86 18 591780566,http://www.aiminglasers.com,sales@aiminglaser.com,"Diode modules, Laser diodes, Position, contour (2D / 3D)"
"Aimmet Industrial Co., Ltd.","No. 16, Lane 263, Yan-He Street, Yongkang District, Tainan 710, Taiwan",,http://www.aimmet.com,service@aimmet.com,"Automotive (AE), Wireless (W), Infotainment, Navigation, Car antenna, Telematics"
Aimtron Electronics Limited,"Plot No 1/A G.I.D.C Estate Waghodia, Waghodia 391760, India",+49 157 32604609,https://www.aimtron.in/,marketing@aimtron.com,"Surface treatment, Component insertion, Electronics assembly and packaging"
Aim-TTi (ThurlbyThandar Instruments.),"Glebe Road 2, Huntingdon, Cambridgeshire PE29 7DR, Great Britain",,https://www.aimtti.com,sales@aimtti.com,"AC / DC power supplies, configurable"
"AiPCBA Intelligent Manufacturing Technology Co., Ltd.","226, Block 2, Xinghui Tech-Innovation Park, Yu An Second Rd., Bao An Dist., 518000 Shenzhen, China",+86 134 21817648,https://www.aipcba.com,salesa@aipcba.com,"Assembly production, PCBs, Distribution"
AirBorn,"Station Road, Edenbridge, Kent TN8 6HL, Great Britain",,http://www.airborn.com,pachingerr@airbornint.com,"AC / DC power supplies, configurable, Integrated circuits, Consulting services for electro-mechanical solutions"
AirBorn,"3500 AirBorn Circle, Georgetown, TX 78626, USA",,http://www.airborn.com,marketing@filcon.de,"Electronics for aviation, aerospace and defence (D), PCB connectors, MIL connectors, Miniature plug-in connectors, Right-angle plug-in connectors"
Airborn International,"Station Road, TN8 6HL Edenbridge, Kent, Germany",,https://www.airborninternational.com/,marketing@filcon.de,"Electronics for aviation, aerospace and defence (D), Configured cable / connector combinations for the aerospace industry, Plug-in connectors for soldered connections, PCB connection systems, PCB connectors"
AISMALIBAR BENMAYOR SA,"Avenida la Ferrería 76-78 · Polígono Industrial la Ferrería 08110 Montcada i Reixac · Barcelona · España, 08110 Montcada i Reixac (Barcelona), Spain",,https://www.aismalibar.com/www.benmayor.com,aismalibar@benmayor.com,
AIStorm,"7207 Regency Square, Houston, TX 77036, USA",+1 416 9884736,https://www.aistorm.ai,sales@AIStorm.ai,"Image detection, image evaluation"
"Ai-Thinker Co., Ltd.","Rm. 403-405/Rm. 408-410, Bldg. C, Huafeng Intelligence Innovation Port, Gushu, Xixiang, Baoan Dist., 518126 Shenzhen, China",+86 15 989589908,http://www.ai-thinker.com,overseas@aithinker.com,"Bluetooth, LoRa/LoRaWAN, WLAN, Antennas"
"Aker Technology Co., Ltd.","No. 11-3, Jianguo Road, Tanzi Dist., Taichung City 42760, Taiwan",,https://www.aker.com.tw,sales-a@aker.com.tw,
Aksan Kalip San.Tic.A.S.,"BOSB Bakircilar San.Sit. Karanfil Cad.15, 34520 Beylikduzu Istanbul, Türkiye",+90 544 3908284,https://www.aksan-co.com,sls@aksan-co.com,"Automotive (AE), Consumer electronics (CO), Table-top housings, Specialized housings for assemblies / devices, Wall-mountable and desktop housings, miscellaneous, Fuse holders / sockets, Sheet-metal housings, Plastic housings, application-specific, Mini housings, miscellaneous, Specialized component enclosures, RF-shielded housings, Sheet-metal structures, Specialized heat sinks, Plastic housings for connectors, Metal housings for connectors, EMI / RFI shielding metal hoods, Plug-in connectors for press-fit applications, Plug-in connectors for soldered connections, Automotive plug-in connectors, E-mobility connectors, Customized plug-in connectors, Shielded connectors, Connectors, miscellaneous, Press-fit connectors, Terminals / terminal strips, Connection strips, Terminal strips"
AKTA Elektronik AG,"Alte Steinhauserstrasse 3, 6330 Cham, Switzerland",,https://www.akta.ch,sales@akta.ch,"SMD inductors, Low signal diodes"
AKTINA CDS GmbH,"Otto-Hahn-Straße 36, 63303 Dreieich, Germany",,https://www.aktina-cds.com,info@aktina-cds.com,"Distribution, Obsolescence / inventory management"
Akyga Battery,"Wroclawska 1 C, 52-200 Suchy Dwor, Poland",,https://www.akygabattery.com,sales@akygabattery.com,"Accumulators, up to 50 Ah, Primary elements and batteries, Batteries, NiMH, Batteries, lithium"
akYtec doo akYtec GmbH,"Kneza Miloša 23, floor IV, office 7/7a, 11000 Vahrenwalder Str. 269 A, 30179 Hannover, Germany, 11000 Belgrade, Serbia",+49 511 1659672-0,https://akytec.rs/en,info@akytec.rs,"Software, I / O modules, Ethernet modules, AC/DC power supplies, DIN rail"
Alantys Technology,"8 rue Poulmarch, 95100 Argenteuil, France",,http://www.alantys.com,info@alantys.com,
ALBA PCB GROUP,"Via Leonardo da Vinci 3, 31021 Mogliano Veneto (TV), Italy",,http://www.alba-pcb.com,amm@alba-pcb.com,"Plated through-hole PCBs, PCBs with blind and buried vias, PCBs with thick copper, Metal core PCBs, Flex-rigid circuits, High frequency PCBs"
ALDERS electronic GmbH,"Arnoldstr. 19, 47906 Kempen, Germany",,http://www.alders.de,vertrieb@alders.de,"Automation (A), Power Electronics and Energy Technology (PE), Limit keys, Push-button switches, Toggle switches, Illuminated key switches / keypads"
Alexander Technologies Europe Limited,"2 Doxford Drive, Peterlee SR8 2RL, Great Britain",,https://www.alexandertechnologies.com,sales@alexenergy.co.uk,"Smart batteries, Chargers, battery, Power management systems, Batteries, NiMH, Batteries, lithium, Batteries, lead acid, Batteries, NiCd"
alfatec GmbH & Co. KG,"Meckenloher Straße 11, 91126 Rednitzhembach, Germany",,http://www.alfatec.de,info@alfatec.de,"DC Inductors, Filter reactors, Common mode chokes, Inductor cores, pressed cores, Laminated core inductors, Planar transformers, Isolation transformers, Power transformers, SMD inductors, Multilayer inductors, Inductors, miscellaneous, Ferroelectric ceramic perls, Cores, Chokes, miscellaneous, Coilware, application-specific, Coilware, shielded, Coilware, miscellaneous, Power-supply transformers, Planar transformers, Miniature transformers, Security transformers, High-voltage transformers, Pulse transformers, Transformers, miscellaneous, PCB transformers, Switched-mode power supply (SMPS) transformers, Rectifier diodes, SiC Schottky diodes, Power diodes, Motor drivers, IGBT modules, MOSFET modules, Diode / thyristor modules, IPMs, Wide bandgap semiconductor modules, Power semiconductor modules, miscellaneous, Thyristors, miscellaneous, Field effect transistors (MOSFETs), IGBTs, Wide bandgap power semiconductor devices, Magnetic, Ultrasonic, Laser, Voltage, current, Field strength, Angle, location, Distance, length, elevation, Position, contour (2D / 3D)"
AL Goodwell Industries Limited,"Unit 16, 7/F., Wah Shing Centre, 11-13 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong (Special Administrative Region)",,https://www.algoodwell.com,mkt@algoodwell.com,"Magnetic and electro ceramic products, miscellaneous, Piezoelectric signal generators, Piezoceramic wares"
Alhorn GmbH & Co. KG,"Carl-Vogeler-Straße 2, 32312 Lübbecke, Germany",,https://www.alhorn.de,zentrale@alhorn.de,Metal-plastic hybrids
Alif Semiconductor,"7901 Stoneridge Drive 300, Pleasanton 94588, USA",+1 925 7194167,https://www.alifsemi.com,alexandra.kazerounian@alifsemi.com,"Bluetooth, Wireless microcontrollers"
ALL Circuits,"N°6, 3ème avenue, Parc Synergie Val de Loire, CS50028, 45130 Meung-sur-Loire, France",,http://www.allcircuits.com,sales@allcircuits.com,"Component insertion, Assembly production"
Alle Elektronik GmbH,"Am Trippelsberg 92, 40589 Düsseldorf, Germany",,https://www.alle-ic.de,info@alle-ic.de,
Allegro MicroSystems,"955 Perimeter Rd., Manchester, NH 03103, USA",+49 6221 87235,https://www.allegromicro.com,info@allegromicro.com,"Gate drivers ICs, LED drivers, Motor drivers, Inductive, Magnetic, Voltage, current, Field strength, Angle, location, Rotary encoders, Position, contour (2D / 3D)"
All Sensors GmbH,"Livry-Gargan-Str. 10, 82256 Fürstenfeldbruck, Germany",,https://www.allsensors.eu,info@allsensors.eu,"Hydrogen, Oxygen, Barometric pressure, Pressure (gauge, absolute, differential), Flow, volume, current (gases)"
AllSpice.io,"444 Somerville Ave, Somerville, MA 02143, USA",,https://www.allspice.io,marketing@allspice.io,"PCB design tools, Board design programs, Hardware design"
ALMETO s.r.o.,"Sadova 876, 588 13 Polna, Czech Republic",,https://www.almeto.cz/english,pesek@almeto.cz,"Automotive (AE), Consumer electronics (CO), Wire harnesses, Spiral cords, Passive components, miscellaneous, Film capacitors"
Alpha and Omega Semiconductor,"475 Oakmead Pkwy, Sunnyvale, CA 94085, USA",,https://www.aosmd.com,mina.galvan@us.aosmd.com,"Battery management ICs, DC/DC switching regulators, DC/DC converter ICs, Hot-swap-controller, Motor drivers, Switching regulator ICs, IGBT modules, IPMs, Power semiconductor modules, miscellaneous"
Alps Alpine Europe GmbH,"Ohmstr. 4, 85716 Unterschleißheim, Germany",,https://www.alpsalpine.com,info@alpsalpine.com,"Microswitches, Current controllers, Magnetic, Radar, Humidity (gas), evaporation, precipitation, dew point, condensation, Barometric pressure, 5G"
Altinkaya Electronic Enclosure and Components,"1469 Sok No 10 Ivedik OSB Yenimahalle, 06370 Ankara, Türkiye",+90 53 82531288,http://www.altinkaya.com,sales@altinkaya.com,"Hybrid components, other, Components for sensors and microsystems"
Altium,"Landsberger Str. 191, 80687 München, Germany",,http://altium.com,info.de@altium.com,"PCB design tools, Circuit optimization routines, Layout editors, Board design programs, Libraries / databases"
AL Transfo Technology Ltd.,"No. 16 HeHuan Rd., High Tech Zone, 230088 Hefei, China",+86 180 05695890,http://www.altransfo.com,info@altransfo.com,"DC Inductors, Filter reactors, Autotransformers, Switched-mode power supply (SMPS) transformers, Audio transformers"
Alutronic Kühlkörper GmbH & Co. KG,"Auf der Löbke 9-11, 58553 Halver, Germany",,http://www.alutronic.de,info@alutronic.de,"Individual housings, Fans, Heat exchanger systems, Cooling equipment, Insulating elements, special, Heat sinks, Specialized heat sinks, Passive components, miscellaneous, Thermal interface materials"
A.M.A. S.p.A.,"Via Puccini 18, 42018 San Martino in Rio (RE), Italy",,http://www.ama.it,ama@ama.it,"CAN bus modules, System design, Systems integration, Production services"
Amble Electronics Asia Limited,"Unit 02-04, 8th Floor, Tai Hung Fai Centre Tower 1, 77-81 Container Port Rd, Kwai Tsing,, 999077 HKSAR, China",,http://www.ambleelec.com,inquiry@ambleelec.com,"Photovoltaic elements, Power semiconductor modules, miscellaneous, Thyristors, miscellaneous"
amcoss GmbH,"Leusbündtweg 49a, 6800 Feldkirch, Austria",,http://www.amcoss-systems.com,office@amcoss.com,"Cleaning; Washing; Drying Equipment for Substrate; Fab Processing, Coat; Develop; Resist Processing; Track Equipment, Etching; Stripping; Ashing - Dry and Wet Equipment, Spin on Glass (SOG); on Dielectric (SOD) Track systems"
amcoss GmbH,"Leusbündtweg 49a, 6800 Feldkirch, Austria",,https://www.amcoss.com,office@amcoss.com,"Repair; Rebuild; Install Equipment; Maintenance Services; Spare Parts, Sawing; Lapping; Grinding; Polishing Service, Optics; Lens Products; Auto-Focus Systems, Pumps, for Fluids, Temperature Sensing; Control; Recirculators; Chillers; Heat Exchangers"
AMD Décolletage,"rue de la pointe d'Orchex 250, 74460 Marnaz, France",,https://www.amd-decolletage.com/,sales@amd-decolletage.fr,"Automation (A), Electro-Mobility (E), Charging stations, Connectors (see electromechanics / system peripherals), Plastic housings for connectors, Charging cables for e-mobility"
AMETEK Programmable Power,"9250 Brown Deer Road, San Diego, CA 92121, USA",,http://www.programmablepower.com,sales.ppd@ametek.com,"AC/DC power supplies, single / multiple phase, Bidirectional DC/DC converter"
"Ampire Co., Ltd.","4F, No. 116, Sec. 1, Xintai 5th Rd. Xizhi Dist., New Taipei City 00221, Taiwan",,https://www.ampire.com.tw,ethan.lin@ampire.com.tw,"LCD monitors, LCD displays, passive (STN, DSTN), LCD displays, active (TFT)"
Ample Solutions,"20 Martin Road, Seng Kee Building, #06-01, Singapore 239070, Singapore",,http://www.ampleglobal.com,marketing@ample.sg,"Diode modules, IGBT modules, Diode / thyristor modules, Power transistors"
ams OSRAM,"Marcel-Breuer-Straße 4, 80807 München, Germany",,https://www.ams-osram.com,sensors@ams-osram.com,LEDs
AMSYS GmbH & Co. KG,"An der Fahrt 4, 55124 Mainz, Germany",,http://www.amsys.de,info@amsys.de,"Humidity (gas), evaporation, precipitation, dew point, condensation, Barometric pressure, Level, depth, Force, torque, torsion, stress, Pressure (gauge, absolute, differential), Temperature, temperature distribution, Bluetooth"
AMT Apex Material Technology Corp.,"No. 84, WuXun Street, Anle District, Keelung City 20446, Taiwan",+886 9 15190356,http://www.amtouch.com.tw,amt1@amtouch.com.tw,"EP monitors, LCD monitors, Mounting, housing and bonding technology"
"Amtek Technology Co., Ltd.","No. 3, Ln. 33, Rixin St., Tucheng Dist., New Taipei City 23666, Taiwan",,http://www.amtek-co.com.tw,web@amtek-co.com.tw,"Connectors, miscellaneous, Standardized connectors, miscellaneous"
Analog Devices,"The Record Store, 15 Pressing Lane, Blyth Road 15, Hayes UB3 1EP, Great Britain",,https://www.analog.com,emeamarketing@analog.com,
Analog Microelectronics GmbH,"An der Fahrt 13, 55124 Mainz, Germany",,https://www.analog-micro.com,info@analogmicro.de,"Starter kits, Barometric pressure, Charge, capacitance, Level, depth, Pressure (gauge, absolute, differential), Flow, volume, current (gases), Production services, Pressure meters"
"Ningbo ANDBAO Enclosure Co., Ltd.","No. 1482 Zhangxin North Rd., Xiaolin Town, 315322 Cixi, China",,https://www.twins-box.com,sales-2@twins-box.com,"Housings, Equipment"
Angst+Pfister Sensors and Power AG,"Thurgauerstrasse 66, 8050 Zürich, Switzerland",,https://sensorsandpower.angst-pfister.com,sensorsandpower@angst-pfister.com,"Hydrogen, Oxygen, Position, contour (2D / 3D), Pressure (gauge, absolute, differential), Temperature, temperature distribution"
